,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Date,UniqueCarrier_9E,UniqueCarrier_AA,UniqueCarrier_AQ,UniqueCarrier_AS,UniqueCarrier_B6,UniqueCarrier_CO,UniqueCarrier_DL,UniqueCarrier_EV,UniqueCarrier_F9,UniqueCarrier_FL,UniqueCarrier_HA,UniqueCarrier_MQ,UniqueCarrier_NW,UniqueCarrier_OH,UniqueCarrier_OO,UniqueCarrier_UA,UniqueCarrier_US,UniqueCarrier_WN,UniqueCarrier_XE,UniqueCarrier_YV
1867818,5,-1.1454972496333231,-1.2453139766436911,-1.0096258082217178,-1.2743880896168844,-1.1389262433822738,-1.111019003168033,-1.1358944178258854,-0.4042088426957779,-0.37247069555571766,-1.0006344389094313,-0.5273364068549965,-0.08358847982366613,2008-12-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1079334,2,0.2367794591046473,0.3528439375688845,0.3669891807640278,0.3780567054555379,-0.3959307137615571,-0.3451244144831131,-0.3860518984996547,-0.7251092170442062,-0.695980730364968,-0.3879421506314479,-0.15494803657104783,-0.08358847982366613,2008-06-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104165,2,-0.9136314791353409,-0.8670517484276968,-0.7321119112378539,-0.8950330588415034,-1.0288528315866121,-0.8742879484836031,-0.9051736426485836,-0.8761211579140548,-0.695980730364968,-0.8539334684766746,-0.15494803657104783,-0.7969924375708696,2008-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1276330,1,-0.6906836228872812,-0.7724861913736983,-0.1606523733697659,-0.2670611717387541,-0.024432948951198723,0.14226305104365405,0.1042297487521115,-0.4985913057394332,-0.2915931868534051,0.30759303859679804,-0.15494803657104783,-0.5829712502467085,2008-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
946953,1,-1.2614301348823143,-1.2334932820119413,-1.0552695412782742,-1.2786745871397702,-0.4922449490827611,-0.37297512679892836,-0.4293120438453988,-0.8383681726965926,-0.7162001075405462,-0.5087547145172474,0.40363451885487517,-0.5829712502467085,2008-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
812855,4,-1.9971580605009114,-2.049121211602679,-1.5664793515117075,-1.938795205664162,-0.6298367138273383,-0.6932583184308039,-0.44373209229398014,-0.3098263796521225,-0.41290944990687395,-0.5639833151507557,-0.34114222171302216,-0.9396732291203103,2008-05-29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1024554,2,0.8900166779114623,1.038444226210374,0.9950469476222459,1.0810422992087863,0.3057872864357865,0.18403911951737695,0.19075003944359964,-0.423085335304509,-0.6353225988382336,0.32312608252497227,0.03124614857092651,0.6298154779235373,2008-06-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1011750,1,1.1753899339089788,1.2606732852872706,1.0972889096689327,1.0510368165485866,-0.6848734197251691,-0.7628850992203421,-0.7321330612656073,0.14320944295742322,0.05213622513142343,-0.6243895970936555,-0.8997247771389452,0.4157942905993763,2008-06-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1109211,2,1.1263414055344056,1.2961353691825201,1.2707350952838474,1.2975104241145121,2.0256843457430014,1.7436790092030319,1.7913754172361305,-0.23432040921719824,-0.695980730364968,1.6917598419741013,0.5898287039968495,1.414559831445461,2008-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
562985,1,0.2679921589793756,0.12588660063928794,0.3633376821195033,0.01156116724881387,-0.6160775373528806,-0.8325118800098802,-0.76097315816277,0.9548986251328594,0.7193756719255023,-0.9833755012114599,-0.15494803657104783,0.6298154779235373,2008-03-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167812,3,0.9033935492863459,0.8233075839125272,0.9694864571105742,0.8881499106789316,2.507255522349021,2.7045285840986586,2.786358760188244,0.2564683986098097,0.5171819001697209,2.6047576461967865,-0.5273364068549965,-0.5829712502467085,2008-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1013547,1,-0.4008514097648036,-0.8197689699006976,-0.16612962133655268,-0.7064271678345344,-0.47848577260830344,-0.4843779760621894,-0.4148919953968174,1.8043407925257577,1.9325383024601912,-0.3758608942428679,-0.34114222171302216,-0.29760966714782716,2008-06-02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149595,6,-0.6728477943874365,-0.6069964665292008,-0.36513629746313925,-0.45995356026860884,-0.2996164784403531,-0.1362440721144986,-0.16975117177093432,-0.9138741431315168,-0.7364194847161243,-0.12042861631289174,-0.34114222171302216,-0.5829712502467085,2008-01-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870470,1,0.8877871993489818,0.6578178590680298,0.9110624787981818,0.579522089031164,-0.3133756549148108,-0.8325118800098802,-0.2130113171166784,1.615575866438447,0.9822275752080182,-0.7003289229647295,-0.5273364068549965,-0.3689500629225475,2008-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
690789,2,-0.3674092313275946,-1.044362167903944,-0.11135714166868482,-0.9100358001716032,-0.27209812549143764,-0.4843779760621894,-0.6023526252283751,3.408842664267899,3.3478947047506615,-0.5639833151507557,0.03124614857092651,1.5572406229949018,2008-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918604,6,1.1865373267213817,0.906052446334776,-2.913882351341257,1.070326055401572,0.9387094042608415,0.3372180372543609,0.34937057237799457,2.2951296003527655,1.5685895132997845,0.29033410089882666,7.292819369107926,0.34445389482465594,2008-12-20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160372,4,-1.5155906910051022,-1.5053692585421872,-0.5349309844335296,-0.684994680220106,0.31954646291024424,0.3511433934122685,0.2628502816865064,-0.687356231826744,-0.695980730364968,0.49226367196509163,2.079382185132644,-0.44029045869726785,2008-01-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
